Sno,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,,,,,,
1,30/01/20,Kerala,1,0,0,0,,,,,,
2,31/01/20,Kerala,1,0,0,0,,,,,,
3,01/02/20,Kerala,2,0,0,0,,,,,,
4,02/02/20,Kerala,3,0,0,0,,,,,,
5,03/02/20,Kerala,3,0,0,0,,,,,,
6,04/02/20,Kerala,3,0,0,0,,,,,,
7,05/02/20,Kerala,3,0,0,0,,,,,,
8,06/02/20,Kerala,3,0,0,0,,,,,,
9,07/02/20,Kerala,3,0,0,0,,,,,,
10,08/02/20,Kerala,3,0,0,0,,,,,,
11,09/02/20,Kerala,3,0,0,0,,,,,,
12,10/02/20,Kerala,3,0,0,0,,,,,,
13,11/02/20,Kerala,3,0,0,0,,,,,,
14,12/02/20,Kerala,3,0,0,0,,,,,,
15,13/02/20,Kerala,3,0,0,0,,,,,,
16,14/02/20,Kerala,3,0,0,0,,,,,,
17,15/02/20,Kerala,3,0,0,0,,,,,,
18,16/02/20,Kerala,3,0,0,0,,,,,,
19,17/02/20,Kerala,3,0,0,0,,,,,,
20,18/02/20,Kerala,3,0,0,0,,,,,,
21,19/02/20,Kerala,3,0,0,0,,,,,,
22,20/02/20,Kerala,3,0,0,0,,,,,,
23,21/02/20,Kerala,3,0,0,0,,,,,,
24,22/02/20,Kerala,3,0,0,0,,,,,,
25,23/02/20,Kerala,3,0,0,0,,,,,,
26,24/02/20,Kerala,3,0,0,0,,,,,,
27,25/02/20,Kerala,3,0,0,0,,,,,,
28,26/02/20,Kerala,3,0,0,0,,,,,,
29,27/02/20,Kerala,3,0,0,0,,,,,,
30,28/02/20,Kerala,3,0,0,0,,,,,,
31,29/02/20,Kerala,3,0,0,0,,,,,,
32,01/03/20,Kerala,3,0,0,0,,,,,,
33,02/03/20,Telengana,1,0,0,0,,,,,,
34,02/03/20,Kerala,3,0,0,0,,,,,,
35,02/03/20,Delhi,1,0,0,0,,,,,,
36,03/03/20,Telengana,1,0,0,0,,,,,,
37,03/03/20,Rajasthan,0,1,0,0,,,,,,
38,03/03/20,Kerala,3,0,3,0,,,,,,
39,03/03/20,Delhi,1,0,0,0,,,,,,
40,04/03/20,Uttar Pradesh,6,0,0,0,,,,,,
41,04/03/20,Kerala,3,0,3,0,,,,,,
42,04/03/20,Haryana,0,2,0,0,,,,,,
43,04/03/20,Delhi,1,0,0,0,,,,,,
44,04/03/20,Telengana,1,0,0,0,,,,,,
45,04/03/20,Rajasthan,1,14,0,0,,,,,,
46,05/03/20,Delhi,2,0,0,0,,,,,,
47,05/03/20,Haryana,0,2,0,0,,,,,,
48,05/03/20,Kerala,3,0,3,0,,,,,,
49,05/03/20,Rajasthan,1,14,0,0,,,,,,
50,05/03/20,Telengana,1,0,0,0,,,,,,
51,05/03/20,Uttar Pradesh,7,0,0,0,,,,,,
52,06/03/20,Delhi,3,0,0,0,,,,,,
53,06/03/20,Haryana,0,2,0,0,,,,,,
54,06/03/20,Kerala,3,0,3,0,,,,,,
55,06/03/20,Rajasthan,1,14,0,0,,,,,,
56,06/03/20,Uttar Pradesh,7,0,0,0,,,,,,
57,06/03/20,Telengana,1,0,0,0,,,,,,
58,07/03/20,Kerala,3,0,3,0,,,,,,
59,07/03/20,Uttar Pradesh,7,0,0,0,,,,,,
60,07/03/20,Ladakh,2,0,0,0,,,,,,
61,07/03/20,Telengana,1,0,0,0,,,,,,
62,07/03/20,Tamil Nadu,1,0,0,0,,,,,,
63,07/03/20,Delhi,3,0,0,0,,,,,,
64,07/03/20,Haryana,0,2,0,0,,,,,,
65,07/03/20,Rajasthan,1,14,0,0,,,,,,
66,08/03/20,Ladakh,2,0,0,0,,,,,,
67,08/03/20,Telengana,1,0,0,0,,,,,,
68,08/03/20,Tamil Nadu,1,0,0,0,,,,,,
69,08/03/20,Rajasthan,1,14,0,0,,,,,,
70,08/03/20,Kerala,8,0,3,0,,,,,,
71,08/03/20,Haryana,0,2,0,0,,,,,,
72,08/03/20,Delhi,3,0,0,0,,,,,,
73,08/03/20,Uttar Pradesh,7,0,0,0,,,,,,
74,09/03/20,Ladakh,2,0,0,0,,,,,,
75,09/03/20,Karnataka,1,0,0,0,,,,,,
76,09/03/20,Kerala,9,0,3,0,,,,,,
77,09/03/20,Maharashtra,2,0,0,0,,,,,,
78,09/03/20,Punjab,1,0,0,0,,,,,,
79,09/03/20,Rajasthan,1,14,0,0,,,,,,
80,09/03/20,Tamil Nadu,1,0,0,0,,,,,,
81,09/03/20,Telengana,1,0,0,0,,,,,,
82,09/03/20,Jammu and Kashmir,1,0,0,0,,,,,,
83,09/03/20,Uttar Pradesh,7,0,0,0,,,,,,
84,09/03/20,Haryana,0,2,0,0,,,,,,
85,09/03/20,Delhi,4,0,0,0,,,,,,
86,10/03/20,Uttar Pradesh,7,0,0,0,,,,,,
87,10/03/20,Ladakh,2,0,0,0,,,,,,
88,10/03/20,Delhi,4,0,0,0,,,,,,
89,10/03/20,Haryana,0,2,0,0,,,,,,
90,10/03/20,Karnataka,4,0,0,0,,,,,,
91,10/03/20,Kerala,15,0,3,0,,,,,,
92,10/03/20,Maharashtra,5,0,0,0,,,,,,
93,10/03/20,Punjab,1,0,0,0,,,,,,
94,10/03/20,Rajasthan,1,14,0,0,,,,,,
95,10/03/20,Tamil Nadu,1,0,0,0,,,,,,
96,10/03/20,Telengana,1,0,0,0,,,,,,
97,10/03/20,Jammu and Kashmir,1,0,0,0,,,,,,
98,11/03/20,Maharashtra,2,0,0,0,,,,,,
99,11/03/20,Delhi,5,0,0,0,,,,,,
100,11/03/20,Haryana,0,14,0,0,,,,,,
101,11/03/20,Kerala,17,0,3,0,,,,,,
102,11/03/20,Rajasthan,1,2,0,0,,,,,,
103,11/03/20,Telengana,1,0,0,0,,,,,,
104,11/03/20,Uttar Pradesh,9,0,0,0,,,,,,
105,11/03/20,Ladakh,2,0,0,0,,,,,,
106,11/03/20,Tamil Nadu,1,0,0,0,,,,,,
107,11/03/20,Jammu and Kashmir,1,0,0,0,,,,,,
108,11/03/20,Punjab,1,0,0,0,,,,,,
109,11/03/20,Karnataka,4,0,0,0,,,,,,
110,12/03/20,Delhi,6,0,0,0,,,,,,
111,12/03/20,Haryana,0,14,0,0,,,,,,
112,12/03/20,Kerala,17,0,3,0,,,,,,
113,12/03/20,Rajasthan,1,2,0,0,,,,,,
114,12/03/20,Telengana,1,0,0,0,,,,,,
115,12/03/20,Uttar Pradesh,10,1,0,0,,,,,,
116,12/03/20,Ladakh,3,0,0,0,,,,,,
117,12/03/20,Tamil Nadu,1,0,0,0,,,,,,
118,12/03/20,Jammu and Kashmir,1,0,0,0,,,,,,
119,12/03/20,Punjab,1,0,0,0,,,,,,
120,12/03/20,Karnataka,4,0,0,0,,,,,,
121,12/03/20,Maharashtra,11,0,0,0,,,,,,
122,12/03/20,Andhra Pradesh,1,0,0,0,,,,,,
123,13/03/20,Delhi,6,0,0,0,,,,,,
124,13/03/20,Haryana,0,14,0,0,,,,,,
125,13/03/20,Kerala,19,0,3,0,,,,,,
126,13/03/20,Rajasthan,1,2,0,0,,,,,,
127,13/03/20,Telengana,1,0,0,0,,,,,,
128,13/03/20,Uttar Pradesh,10,1,0,0,,,,,,
129,13/03/20,Ladakh,3,0,0,0,,,,,,
130,13/03/20,Tamil Nadu,1,0,0,0,,,,,,
131,13/03/20,Jammu and Kashmir,1,0,0,0,,,,,,
132,13/03/20,Punjab,1,0,0,0,,,,,,
133,13/03/20,Karnataka,6,0,0,1,,,,,,
134,13/03/20,Maharashtra,14,0,0,0,,,,,,
135,13/03/20,Andhra Pradesh,1,0,0,0,,,,,,
136,14/03/20,Delhi,7,0,1,1,,,,,,
137,14/03/20,Haryana,0,14,0,0,,,,,,
138,14/03/20,Kerala,19,0,3,0,,,,,,
139,14/03/20,Rajasthan,1,2,1,0,,,,,,
140,14/03/20,Telengana,1,0,0,0,,,,,,
141,14/03/20,Uttar Pradesh,11,1,5,0,,,,,,
142,14/03/20,Ladakh,3,0,0,0,,,,,,
143,14/03/20,Tamil Nadu,1,0,0,0,,,,,,
144,14/03/20,Jammu and Kashmir,2,0,0,0,,,,,,
145,14/03/20,Punjab,1,0,0,0,,,,,,
146,14/03/20,Karnataka,6,0,0,1,,,,,,
147,14/03/20,Maharashtra,14,0,0,0,,,,,,
148,14/03/20,Andhra Pradesh,1,0,0,0,,,,,,
149,15/03/20,Andhra Pradesh,1,0,0,0,,,,,,
150,15/03/20,Delhi,7,0,2,1,,,,,,
151,15/03/20,Haryana,0,14,0,0,,,,,,
152,15/03/20,Karnataka,6,0,0,1,,,,,,
153,15/03/20,Kerala,22,0,3,0,,,,,,
154,15/03/20,Maharashtra,32,0,0,0,,,,,,
155,15/03/20,Punjab,1,0,0,0,,,,,,
156,15/03/20,Rajasthan,2,2,3,0,,,,,,
157,15/03/20,Tamil Nadu,1,0,0,0,,,,,,
158,15/03/20,Telengana,3,0,1,0,,,,,,
159,15/03/20,Jammu and Kashmir,2,0,0,0,,,,,,
160,15/03/20,Ladakh,3,0,0,0,,,,,,
161,15/03/20,Uttar Pradesh,12,1,4,0,,,,,,
162,15/03/20,Uttarakhand,1,0,0,0,,,,,,
163,16/03/20,Andhra Pradesh,1,0,0,0,,,,,,
164,16/03/20,Delhi,7,0,2,1,,,,,,
165,16/03/20,Haryana,0,14,0,0,,,,,,
166,16/03/20,Karnataka,6,0,0,1,,,,,,
167,16/03/20,Kerala,23,0,3,0,,,,,,
168,16/03/20,Maharashtra,32,0,0,0,,,,,,
169,16/03/20,Odisha,1,0,0,0,,,,,,
170,16/03/20,Punjab,1,0,0,0,,,,,,
171,16/03/20,Rajasthan,2,2,3,0,,,,,,
172,16/03/20,Tamil Nadu,1,0,0,0,,,,,,
173,16/03/20,Telengana,3,0,1,0,,,,,,
174,16/03/20,Jammu and Kashmir,3,0,0,0,,,,,,
175,16/03/20,Ladakh,4,0,0,0,,,,,,
176,16/03/20,Uttar Pradesh,12,1,4,0,,,,,,
177,16/03/20,Uttarakhand,1,0,0,0,,,,,,
178,17/03/20,Andhra Pradesh,1,0,0,0,,,,,,
179,17/03/20,Delhi,8,0,2,1,,,,,,
180,17/03/20,Haryana,1,14,0,0,,,,,,
181,17/03/20,Karnataka,11,0,0,1,,,,,,
182,17/03/20,Kerala,24,2,3,0,,,,,,
183,17/03/20,Maharashtra,36,3,0,1,,,,,,
184,17/03/20,Odisha,1,0,0,0,,,,,,
185,17/03/20,Punjab,1,0,0,0,,,,,,
186,17/03/20,Rajasthan,2,2,3,0,,,,,,
187,17/03/20,Tamil Nadu,1,0,0,0,,,,,,
188,17/03/20,Telengana,3,2,1,0,,,,,,
189,17/03/20,Jammu and Kashmir,3,0,0,0,,,,,,
190,17/03/20,Ladakh,6,0,0,0,,,,,,
191,17/03/20,Uttar Pradesh,14,1,5,0,,,,,,
192,17/03/20,Uttarakhand,1,0,0,0,,,,,,
193,18/03/20,Andhra Pradesh,1,0,0,0,,,,,,
194,18/03/20,Delhi,9,1,2,1,,,,,,
195,18/03/20,Haryana,3,14,0,0,,,,,,
196,18/03/20,Karnataka,11,0,0,1,,,,,,
197,18/03/20,Kerala,25,2,3,0,,,,,,
198,18/03/20,Maharashtra,39,3,0,1,,,,,,
199,18/03/20,Odisha,1,0,0,0,,,,,,
200,18/03/20,Pondicherry,1,0,0,0,,,,,,
201,18/03/20,Punjab,1,0,0,0,,,,,,
202,18/03/20,Rajasthan,2,2,3,0,,,,,,
203,18/03/20,Tamil Nadu,1,0,0,0,,,,,,
204,18/03/20,Telengana,4,2,1,0,,,,,,
205,18/03/20,Jammu and Kashmir,3,0,0,0,,,,,,
206,18/03/20,Ladakh,8,0,0,0,,,,,,
207,18/03/20,Uttar Pradesh,15,1,5,0,,,,,,
208,18/03/20,Uttarakhand,1,0,0,0,,,,,,
209,18/03/20,West Bengal,1,0,0,0,,,,,,
210,19/03/20,Andhra Pradesh,2,0,0,0,,,,,,
211,19/03/20,Chattisgarh,1,0,0,0,,,,,,
212,19/03/20,Delhi,11,1,3,1,,,,,,
213,19/03/20,Haryana,3,14,0,0,,,,,,
214,19/03/20,Karnataka,14,0,0,1,,,,,,
215,19/03/20,Kerala,25,2,3,0,,,,,,
216,19/03/20,Maharashtra,44,3,0,1,,,,,,
217,19/03/20,Odisha,1,0,0,0,,,,,,
218,19/03/20,Pondicherry,1,0,0,0,,,,,,
219,19/03/20,Punjab,2,0,0,1,,,,,,
220,19/03/20,Rajasthan,5,2,3,0,,,,,,
221,19/03/20,Tamil Nadu,2,0,1,0,,,,,,
222,19/03/20,Telengana,4,2,1,0,,,,,,
223,19/03/20,Chandigarh,1,0,0,0,,,,,,
224,19/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
225,19/03/20,Ladakh,8,0,0,0,,,,,,
226,19/03/20,Uttar Pradesh,18,1,9,0,,,,,,
227,19/03/20,Uttarakhand,1,0,0,0,,,,,,
228,19/03/20,West Bengal,1,0,0,0,,,,,,
229,20/03/20,Andhra Pradesh,3,0,0,0,,,,,,
230,20/03/20,Chhattisgarh,1,0,0,0,,,,,,
231,20/03/20,Delhi,16,1,5,1,,,,,,
232,20/03/20,Gujarat,5,0,0,0,,,,,,
233,20/03/20,Haryana,3,14,0,0,,,,,,
234,20/03/20,Karnataka,15,0,1,1,,,,,,
235,20/03/20,Kerala,26,2,3,0,,,,,,
236,20/03/20,Maharashtra,49,3,0,1,,,,,,
237,20/03/20,Odisha,2,0,0,0,,,,,,
238,20/03/20,Puducherry,1,0,0,0,,,,,,
239,20/03/20,Punjab,2,0,0,1,,,,,,
240,20/03/20,Rajasthan,15,2,3,0,,,,,,
241,20/03/20,Tamil Nadu,3,0,1,0,,,,,,
242,20/03/20,Telengana,8,9,1,0,,,,,,
243,20/03/20,Chandigarh,1,0,0,0,,,,,,
244,20/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
245,20/03/20,Ladakh,10,0,0,0,,,,,,
246,20/03/20,Uttar Pradesh,22,1,9,0,,,,,,
247,20/03/20,Uttarakhand,3,0,0,0,,,,,,
248,20/03/20,West Bengal,2,0,0,0,,,,,,
249,21/03/20,Andhra Pradesh,3,0,0,0,,,,,,
250,21/03/20,Chhattisgarh,1,0,0,0,,,,,,
251,21/03/20,Delhi,25,1,5,1,,,,,,
252,21/03/20,Gujarat,7,0,0,0,,,,,,
253,21/03/20,Haryana,3,14,0,0,,,,,,
254,21/03/20,Himachal Pradesh,2,0,0,0,,,,,,
255,21/03/20,Karnataka,15,0,1,1,,,,,,
256,21/03/20,Kerala,33,7,3,0,,,,,,
257,21/03/20,Madhya Pradesh,4,0,0,0,,,,,,
258,21/03/20,Maharashtra,60,3,0,1,,,,,,
259,21/03/20,Odisha,2,0,0,0,,,,,,
260,21/03/20,Puducherry,1,0,0,0,,,,,,
261,21/03/20,Punjab,13,0,0,1,,,,,,
262,21/03/20,Rajasthan,15,2,3,0,,,,,,
263,21/03/20,Tamil Nadu,3,0,1,0,,,,,,
264,21/03/20,Telengana,10,11,1,0,,,,,,
265,21/03/20,Chandigarh,1,0,0,0,,,,,,
266,21/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
267,21/03/20,Ladakh,13,0,0,0,,,,,,
268,21/03/20,Uttar Pradesh,23,1,9,0,,,,,,
269,21/03/20,Uttarakhand,3,0,0,0,,,,,,
270,21/03/20,West Bengal,3,0,0,0,,,,,,
271,22/03/20,Andhra Pradesh,5,0,0,0,,,,,,
272,22/03/20,Bihar,2,0,0,1,,,,,,
273,22/03/20,Chhattisgarh,1,0,0,0,,,,,,
274,22/03/20,Delhi,28,1,5,1,,,,,,
275,22/03/20,Gujarat,18,0,0,1,,,,,,
276,22/03/20,Haryana,7,14,0,0,,,,,,
277,22/03/20,Himachal Pradesh,2,0,0,0,,,,,,
278,22/03/20,Karnataka,26,0,2,1,,,,,,
279,22/03/20,Kerala,45,7,3,0,,,,,,
280,22/03/20,Madhya Pradesh,4,0,0,0,,,,,,
281,22/03/20,Maharashtra,64,3,0,2,,,,,,
282,22/03/20,Odisha,2,0,0,0,,,,,,
283,22/03/20,Puducherry,1,0,0,0,,,,,,
284,22/03/20,Punjab,21,0,0,1,,,,,,
285,22/03/20,Rajasthan,22,2,3,0,,,,,,
286,22/03/20,Tamil Nadu,5,2,1,0,,,,,,
287,22/03/20,Telengana,11,11,1,0,,,,,,
288,22/03/20,Chandigarh,5,0,0,0,,,,,,
289,22/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
290,22/03/20,Ladakh,13,0,0,0,,,,,,
291,22/03/20,Uttar Pradesh,26,1,9,0,,,,,,
292,22/03/20,Uttarakhand,3,0,0,0,,,,,,
293,22/03/20,West Bengal,4,0,0,0,,,,,,
294,23/03/20,Andhra Pradesh,7,0,0,0,,,,,,
295,23/03/20,Bihar,2,0,0,1,,,,,,
296,23/03/20,Chhattisgarh,1,0,0,0,,,,,,
297,23/03/20,Delhi,28,1,5,1,,,,,,
298,23/03/20,Gujarat,29,0,0,1,,,,,,
299,23/03/20,Haryana,12,14,0,0,,,,,,
300,23/03/20,Himachal Pradesh,2,0,0,0,,,,,,
301,23/03/20,Karnataka,33,0,2,1,,,,,,
302,23/03/20,Kerala,60,7,3,0,,,,,,
303,23/03/20,Madhya Pradesh,6,0,0,0,,,,,,
304,23/03/20,Maharashtra,71,3,0,2,,,,,,
305,23/03/20,Odisha,2,0,0,0,,,,,,
306,23/03/20,Puducherry,1,0,0,0,,,,,,
307,23/03/20,Punjab,21,0,0,1,,,,,,
308,23/03/20,Rajasthan,26,2,3,0,,,,,,
309,23/03/20,Tamil Nadu,7,2,1,0,,,,,,
310,23/03/20,Telengana,22,10,1,0,,,,,,
311,23/03/20,Chandigarh,6,0,0,0,,,,,,
312,23/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
313,23/03/20,Ladakh,13,0,0,0,,,,,,
314,23/03/20,Uttar Pradesh,30,1,9,0,,,,,,
315,23/03/20,Uttarakhand,3,0,0,0,,,,,,
316,23/03/20,West Bengal,7,0,0,0,,,,,,
317,24/03/20,Andhra Pradesh,8,0,0,0,,,,,,
318,24/03/20,Bihar,3,0,0,1,,,,,,
319,24/03/20,Chhattisgarh,1,0,0,0,,,,,,
320,24/03/20,Delhi,29,1,6,1,,,,,,
321,24/03/20,Gujarat,32,1,0,1,,,,,,
322,24/03/20,Haryana,14,14,11,0,,,,,,
323,24/03/20,Himachal Pradesh,3,0,0,1,,,,,,
324,24/03/20,Karnataka,37,0,3,1,,,,,,
325,24/03/20,Kerala,87,8,4,0,,,,,,
326,24/03/20,Madhya Pradesh,7,0,0,0,,,,,,
327,24/03/20,Maharashtra,86,3,0,2,,,,,,
328,24/03/20,Manipur,1,0,0,0,,,,,,
329,24/03/20,Odisha,2,0,0,0,,,,,,
330,24/03/20,Puducherry,1,0,0,0,,,,,,
331,24/03/20,Punjab,29,0,0,1,,,,,,
332,24/03/20,Rajasthan,30,2,3,0,,,,,,
333,24/03/20,Tamil Nadu,13,2,1,0,,,,,,
334,24/03/20,Telengana,25,10,1,0,,,,,,
335,24/03/20,Chandigarh,7,0,0,0,,,,,,
336,24/03/20,Jammu and Kashmir,4,0,0,0,,,,,,
337,24/03/20,Ladakh,13,0,0,0,,,,,,
338,24/03/20,Uttar Pradesh,32,1,11,0,,,,,,
339,24/03/20,Uttarakhand,3,1,0,0,,,,,,
340,24/03/20,West Bengal,9,0,0,1,,,,,,